trade_date,expectancy_state,breadth_state,probe_count,full_count,de_risk_count,board_drawdown,trailing_board_return_5d,trailing_board_return_20d,trailing_board_return_60d,forward_board_return_20d,forward_board_return_40d,max_favorable_return_20d,max_adverse_return_20d,reward_risk_ratio_20d,supporting_evidence
20251121,unlock_worthy,broad_revival,4,2,0,0.0178596,-0.05353816,-0.06595787,,0.32960161,0.88949961,0.32960161,0.0622379,,positive_revival_unlock_seed
20251217,unlock_worthy,broad_revival,4,5,0,0.01825975,0.01840438,0.21385512,,0.59579017,0.38636101,0.83726238,0.0216874,,positive_revival_unlock_seed
20251218,unlock_worthy,broad_revival,3,3,0,0.0,0.07193499,0.29018755,,0.51242386,0.30296537,0.72989548,-0.0380185,19.19842919,positive_revival_unlock_seed
20251219,unlock_worthy,broad_revival,4,2,0,0.0,0.05901065,0.32960161,,0.42110207,0.33434213,0.72220876,-0.04229303,17.0763069,positive_revival_unlock_seed
20251223,unlock_worthy,broad_revival,1,9,0,0.03464422,-0.00554783,0.16660625,,0.5420201,0.41206452,0.79826273,0.05771589,,positive_revival_unlock_seed
20251224,unlock_worthy,broad_revival,1,11,0,0.0,0.080655,0.26237458,,0.58809517,0.41693087,0.70013777,0.05821984,,positive_revival_unlock_seed
20251225,unlock_worthy,broad_revival,1,11,0,0.0,0.07674198,0.32883148,,0.35889303,0.22644246,0.60660168,0.04358599,,positive_revival_unlock_seed
20251231,unlock_worthy,broad_revival,5,7,0,0.0,0.23440241,0.47770485,,0.09887221,0.08915788,0.37729622,0.04652516,,positive_revival_unlock_seed
20260115,false_bounce_only,local_only_rebound,0,0,6,-0.12695396,0.03174439,0.56125626,0.93132542,-0.13429061,-0.19003424,0.06992974,-0.13429061,0.5207344,local_only_rebound_top_symbol=000738
20260115,lockout_worthy,board_cooling_cluster,0,0,6,-0.12695396,0.03174439,0.56125626,0.93132542,-0.13429061,-0.19003424,0.06992974,-0.13429061,0.5207344,board_cooling_lockout_seed
20260130,false_bounce_only,local_only_rebound,1,0,0,-0.20215259,-0.14586321,0.09887221,0.71949155,-0.00884028,,0.04458722,-0.05595397,0.79685534,local_only_rebound_top_symbol=000738
20260202,false_bounce_only,local_only_rebound,1,0,0,-0.20977322,-0.06572508,0.03999063,0.72128888,0.01735289,,0.05466079,-0.04684998,1.1667196,local_only_rebound_top_symbol=000738
20260312,false_bounce_only,local_only_rebound,1,0,0,-0.24156736,-0.04990595,-0.07065393,0.43017071,,,-0.03057566,-0.0705918,-0.43313331,local_only_rebound_top_symbol=300342
20260313,false_bounce_only,local_only_rebound,1,0,0,-0.26617285,-0.08464279,-0.07767088,0.39013716,,,0.00192949,-0.03942841,0.04893654,local_only_rebound_top_symbol=300342
20260316,false_bounce_only,local_only_rebound,1,0,0,-0.27108916,-0.07825471,-0.06878574,0.36384762,,,0.00868723,-0.03294961,0.26365198,local_only_rebound_top_symbol=300342
20260317,false_bounce_only,local_only_rebound,1,0,0,-0.29510649,-0.1232008,-0.11479176,0.30710907,,,0.0430555,0.00318329,,local_only_rebound_top_symbol=300342
20260318,false_bounce_only,local_only_rebound,0,0,11,-0.26475694,-0.06289305,-0.05631464,0.34096381,,,-0.00889156,-0.03822636,-0.23260284,local_only_rebound_top_symbol=300342
20260319,false_bounce_only,local_only_rebound,1,0,0,-0.2712944,-0.03919536,-0.04853581,0.30568623,,,-0.02959797,-0.02959797,-1.0,local_only_rebound_top_symbol=300342
20260320,false_bounce_only,local_only_rebound,1,0,0,-0.2928626,-0.03637063,-0.06439071,0.26456411,,,,,,local_only_rebound_top_symbol=300342
