trade_date,symbol,month_bucket,reversal_minute,fill_minute,fill_price,reference_quantity,horizon_pnl_1d,horizon_pnl_3d,horizon_pnl_5d
20251216,688523,2025-12,3,4,40.0,2300,-2576.0,4646.0,-1587.0
20251219,688523,2025-12,43,44,42.68,2200,-3124.0,-4334.0,3036.0
20260113,000738,2026-01,4,5,23.27,4000,-4600.0,-7480.0,5000.0
20260115,300045,2026-01,32,33,30.85,3000,-2790.0,-4950.0,-5550.0
20260115,601698,2026-01,23,24,40.01,2300,345.0,-6923.0,-2898.0
20260115,688066,2026-01,9,10,39.77,2300,3680.0,-6624.0,-4531.0
20260120,300342,2026-01,41,42,54.6,1700,-8364.0,11339.0,3077.0
20260120,688523,2026-01,12,13,62.6,1500,-4875.0,15585.0,1920.0
20260126,300045,2026-01,60,61,29.46,3200,-1408.0,-4064.0,-8512.0
20260126,688066,2026-01,21,22,39.53,2300,3335.0,-6187.0,-25254.0
20260126,688523,2026-01,4,5,66.81,1400,-4102.0,-7000.0,-10388.0
20260128,300342,2026-01,21,22,54.28,1700,-3859.0,34.0,-1819.0
20260403,688066,2026-04,18,19,17.28,5400,,,
