checkpoint,is_strict_band,pc1_score,pc2_score,signal_trade_date,state_band,symbol
10:30,True,-608996443.448431,-1416901757.681878,2023-12-20,pc1_low__pc2_low,300502
11:00,True,-697406987.896252,-1272412235.780782,2023-12-20,pc1_low__pc2_low,300502
14:00,True,-220695245.063269,-754339312.535542,2023-12-20,pc1_low__pc2_low,300502
14:30,True,-228941909.503381,-756726616.010912,2023-12-20,pc1_low__pc2_low,300502
15:00,True,146996677.655909,-1143114755.011199,2023-12-20,pc1_high__pc2_low,300502
10:30,True,-1332851509.127354,-463022920.593797,2024-02-05,pc1_low__pc2_low,300308
11:00,True,-1186487863.04052,-522634256.03355,2024-02-05,pc1_low__pc2_low,300308
14:00,True,-2247106560.867887,-3693862.063119,2024-02-05,pc1_low__pc2_low,300308
14:30,True,-1963794129.147526,-146293845.411758,2024-02-05,pc1_low__pc2_low,300308
15:00,True,-1358582736.082345,-264660714.271002,2024-02-05,pc1_low__pc2_low,300308
10:30,True,-1285026274.041388,-1017387207.524079,2025-06-03,pc1_low__pc2_low,300502
11:00,True,-1046323801.683886,-1134028259.555521,2025-06-03,pc1_low__pc2_low,300502
14:00,True,-529098797.831133,-562555246.219572,2025-06-03,pc1_low__pc2_low,300502
14:30,True,-453883128.413637,-628974437.129892,2025-06-03,pc1_low__pc2_low,300502
15:00,True,-213930879.165061,-723548666.676054,2025-06-03,pc1_low__pc2_low,300502
10:30,True,-1660950883.393306,-841595132.411052,2025-07-02,pc1_low__pc2_low,300502
11:00,True,-1312761622.855074,-951833305.299369,2025-07-02,pc1_low__pc2_low,300502
14:00,True,-535564804.252146,-599336210.379063,2025-07-02,pc1_low__pc2_low,300502
14:30,True,-760327109.886209,-435465394.926813,2025-07-02,pc1_low__pc2_low,300502
15:00,True,-984635303.752697,-242700469.021428,2025-07-02,pc1_low__pc2_low,300502
10:30,True,-548234598.816891,-1361492529.450303,2025-07-31,pc1_low__pc2_low,300502
11:00,True,-870118936.16265,-1055795363.708713,2025-07-31,pc1_low__pc2_low,300502
14:00,True,199154397.073877,-1308359128.773293,2025-07-31,pc1_high__pc2_low,300502
14:30,True,143456174.472024,-1303585372.462942,2025-07-31,pc1_high__pc2_low,300502
15:00,True,144086290.012557,-1235564625.043033,2025-07-31,pc1_high__pc2_low,300502
10:30,True,-1682810257.208173,-760884629.878079,2023-06-14,pc1_low__pc2_low,300308
11:00,True,-1312287408.319347,-858376118.956573,2023-06-14,pc1_low__pc2_low,300308
14:00,True,-2030090517.427773,-229716308.197285,2023-06-14,pc1_low__pc2_low,300308
14:30,True,-1916574812.869156,-255133874.236209,2023-06-14,pc1_low__pc2_low,300308
15:00,True,-1519697317.459929,-247364925.464238,2023-06-14,pc1_low__pc2_low,300308
10:30,True,-1001166292.480021,-812314781.751103,2023-06-14,pc1_low__pc2_low,300502
11:00,True,-840964799.67804,-943711391.857934,2023-06-14,pc1_low__pc2_low,300502
14:00,True,-2200589982.6939,-213913107.343803,2023-06-14,pc1_low__pc2_low,300502
14:30,True,-2242166390.654154,-206200682.845035,2023-06-14,pc1_low__pc2_low,300502
15:00,True,-1794433783.028831,-340843068.44843,2023-06-14,pc1_low__pc2_low,300502
10:30,True,-1971542765.188754,-564782296.55828,2023-12-08,pc1_low__pc2_low,300308
11:00,True,-2070964426.605373,-507264705.651842,2023-12-08,pc1_low__pc2_low,300308
14:00,True,-2076439617.692419,-76836669.485404,2023-12-08,pc1_low__pc2_low,300308
14:30,True,-2173642756.922656,-135194232.44329,2023-12-08,pc1_low__pc2_low,300308
15:00,True,-1986529810.891286,-102420921.470201,2023-12-08,pc1_low__pc2_low,300308
10:30,True,-2344101436.216928,-150065239.547737,2023-12-08,pc1_low__pc2_low,300502
11:00,True,-2201628549.232895,-289765907.080105,2023-12-08,pc1_low__pc2_low,300502
14:00,True,-2118682555.525773,-50592746.28125,2023-12-08,pc1_low__pc2_low,300502
14:30,True,-2212168446.852283,-1651295.787638,2023-12-08,pc1_low__pc2_low,300502
15:00,True,-1680777326.676695,-321088314.866286,2023-12-08,pc1_low__pc2_low,300502
